lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
SDPE:SDG (29:3),area_per_lipid,-,computational,35C,1,59.93,59.93,0.0,59.93,59.93,0.0,1,1,A^2
SDPE:SDG:CHOL (37:6:21),area_per_lipid,-,computational,35C,1,47.52,47.52,0.0,47.52,47.52,0.0,1,1,A^2
SLiPC,area_per_lipid,-,computational,60C,3,68.9733,69.02,0.0732,68.87,69.03,0.2,1,1,A^2
SM16,area_per_lipid,-,computational,55C,1,56.2,56.2,0.0,56.2,56.2,0.0,1,1,A^2
SM16:POPC (3:7),area_per_lipid,-,computational,25C,1,59.62,59.62,0.0,59.62,59.62,0.0,1,1,A^2
SM18,area_per_lipid,-,computational,55C,1,55.52,55.52,0.0,55.52,55.52,0.0,1,1,A^2
SM18:POPC:CHOL (1:1:1),area_per_lipid,-,computational,50C,1,43.95,43.95,0.0,43.95,43.95,0.0,1,1,A^2
SOPC,area_per_lipid,-,computational,25C,3,63.3667,63.39,0.0556,63.29,63.42,0.2,1,1,A^2
SOPC,area_per_lipid,-,computational,30C,1,64.31,64.31,0.0,64.31,64.31,0.0,1,1,A^2
SOPC,area_per_lipid,-,computational,60C,3,67.4867,67.47,0.0464,67.44,67.55,0.2,1,1,A^2
SOPC,area_per_lipid,-,experimental,20C,1,63.8,63.8,0.0,63.8,63.8,0.0,1,0,A^2
SOPC,area_per_lipid,-,experimental,30C,1,65.5,65.5,0.0,65.5,65.5,0.0,1,0,A^2
SOPC,area_per_lipid,-,experimental,50C,1,68.1,68.1,0.0,68.1,68.1,0.0,1,0,A^2
SOPC,area_per_lipid,-,experimental,60C,1,69.4,69.4,0.0,69.4,69.4,0.0,1,0,A^2
TLCL_0H,area_per_lipid,-,computational,30C,1,133.53,133.53,0.0,133.53,133.53,0.0,1,1,A^2
TLCL_0H:SAPC:POPE (4:9:7),area_per_lipid,-,computational,35C,1,78.48,78.48,0.0,78.48,78.48,0.0,1,1,A^2
TMCL:BOG:TMA (?),area_per_lipid,-,computational,30C,1,78.59,78.59,0.0,78.59,78.59,0.0,1,1,A^2
TOCL,area_per_lipid,-,computational,30C,2,129.155,129.155,1.375,127.78,130.53,2.1,2,1,A^2
TOCL:POPC (1:1),area_per_lipid,-,computational,35C,1,97.21,97.21,0.0,97.21,97.21,0.0,1,1,A^2
TOCL:POPC:POPE (1:2:1),area_per_lipid,-,computational,35C,1,78.25,78.25,0.0,78.25,78.25,0.0,1,1,A^2
TOCL:POPE (1:1),area_per_lipid,-,computational,35C,1,94.64,94.64,0.0,94.64,94.64,0.0,1,1,A^2
TOCL:TMA (?),area_per_lipid,-,computational,30C,1,143.91,143.91,0.0,143.91,143.91,0.0,1,1,A^2
PC_polyunsaturated_avg,bending_modulus_Kc,-,experimental,NA,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,J
diC13:0PC,bending_modulus_Kc,-,experimental,NA,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,J
diC22:1PC,bending_modulus_Kc,-,experimental,NA,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,J
CHOL:DAPC (1:1),order_param_SCD_plateau,sn-1,computational,35C,1,0.1863,0.1863,0.0,0.1863,0.1863,0.0,1,1,dimensionless
CHOL:DAPC (1:1),order_param_SCD_plateau,sn-2,computational,35C,1,0.1402,0.1402,0.0,0.1402,0.1402,0.0,1,1,dimensionless
CHOL:DAPC (7:11),order_param_SCD_plateau,sn-1,computational,35C,1,0.1757,0.1757,0.0,0.1757,0.1757,0.0,1,1,dimensionless
CHOL:DAPC (7:11),order_param_SCD_plateau,sn-2,computational,35C,1,0.1334,0.1334,0.0,0.1334,0.1334,0.0,1,1,dimensionless
CHOL:DAPC (7:17),order_param_SCD_plateau,sn-1,computational,35C,1,0.1688,0.1688,0.0,0.1688,0.1688,0.0,1,1,dimensionless
CHOL:DAPC (7:17),order_param_SCD_plateau,sn-2,computational,35C,1,0.128,0.128,0.0,0.128,0.128,0.0,1,1,dimensionless
CHOL:DAPC (7:29),order_param_SCD_plateau,sn-1,computational,35C,1,0.1641,0.1641,0.0,0.1641,0.1641,0.0,1,1,dimensionless
CHOL:DAPC (7:29),order_param_SCD_plateau,sn-2,computational,35C,1,0.1236,0.1236,0.0,0.1236,0.1236,0.0,1,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-1,computational,10C,2,0.1603,0.1603,0.0002,0.1601,0.1605,0.2,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-2,computational,10C,2,0.1198,0.1198,0.0001,0.1197,0.1199,0.2,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-1,computational,25C,2,0.1602,0.1602,0.0005,0.1598,0.1607,0.6,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-2,computational,25C,2,0.12,0.12,0.0001,0.1198,0.1201,0.3,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-1,computational,35C,2,0.1582,0.1582,0.0003,0.1579,0.1585,0.4,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-2,computational,35C,2,0.1194,0.1194,0.0,0.1194,0.1195,0.1,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-1,computational,45C,2,0.1576,0.1576,0.0004,0.1572,0.1579,0.4,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-2,computational,45C,2,0.119,0.119,0.0001,0.1189,0.1191,0.2,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-1,computational,60C,2,0.156,0.156,0.0001,0.1559,0.1561,0.1,2,1,dimensionless
CHOL:DAPC (7:65),order_param_SCD_plateau,sn-2,computational,60C,2,0.1174,0.1174,0.0003,0.1171,0.1177,0.5,2,1,dimensionless
CHOL:DDOPC (7:65),order_param_SCD_plateau,sn-1,computational,35C,1,0.1544,0.1544,0.0,0.1544,0.1544,0.0,1,1,dimensionless
CHOL:DDOPC (7:65),order_param_SCD_plateau,sn-2,computational,35C,1,0.1076,0.1076,0.0,0.1076,0.1076,0.0,1,1,dimensionless
CHOL:DDOPC:DOPC (28:115:130),order_param_SCD_plateau,sn-1,computational,35C,2,0.1876,0.1876,0.0302,0.1573,0.2178,32.3,1,1,dimensionless
CHOL:DDOPC:DOPC (28:115:130),order_param_SCD_plateau,sn-2,computational,35C,2,0.1612,0.1612,0.0509,0.1103,0.2121,63.2,1,1,dimensionless
CHOL:DLIPC (7:65),order_param_SCD_plateau,sn-1,computational,35C,1,0.2132,0.2132,0.0,0.2132,0.2132,0.0,1,1,dimensionless
CHOL:DLIPC (7:65),order_param_SCD_plateau,sn-2,computational,35C,1,0.2068,0.2068,0.0,0.2068,0.2068,0.0,1,1,dimensionless
CHOL:DLIPC:DOPC (28:125:130),order_param_SCD_plateau,sn-1,computational,35C,2,0.2164,0.2164,0.0036,0.2128,0.22,3.3,1,1,dimensionless
CHOL:DLIPC:DOPC (28:125:130),order_param_SCD_plateau,sn-2,computational,35C,2,0.2112,0.2112,0.0045,0.2067,0.2156,4.2,1,1,dimensionless
CHOL:DOPC (7:65),order_param_SCD_plateau,sn-1,computational,35C,1,0.2193,0.2193,0.0,0.2193,0.2193,0.0,1,1,dimensionless
CHOL:DOPC (7:65),order_param_SCD_plateau,sn-2,computational,35C,1,0.2154,0.2154,0.0,0.2154,0.2154,0.0,1,1,dimensionless
CHOL:DOPC:DAPC (14:65:60),order_param_SCD_plateau,sn-1,computational,35C,2,0.1884,0.1884,0.0252,0.1632,0.2137,26.8,1,1,dimensionless
CHOL:DOPC:DAPC (14:65:60),order_param_SCD_plateau,sn-2,computational,35C,2,0.1668,0.1668,0.0432,0.1236,0.21,51.8,1,1,dimensionless
CHOL:DPPC (1:4),order_param_SCD_plateau,sn-1,computational,35C,1,0.4111,0.4111,0.0,0.4111,0.4111,0.0,1,1,dimensionless
CHOL:DPPC (1:4),order_param_SCD_plateau,sn-2,computational,35C,1,0.4148,0.4148,0.0,0.4148,0.4148,0.0,1,1,dimensionless
CHOL:POPC (11:100),order_param_SCD_plateau,sn-1,computational,35C,9,0.2563,0.2549,0.0167,0.2355,0.2853,19.4,9,2,dimensionless
CHOL:POPC (11:100),order_param_SCD_plateau,sn-2,computational,35C,9,0.2334,0.2376,0.017,0.2045,0.263,25.1,9,2,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-1,computational,25C,1,0.3949,0.3949,0.0,0.3949,0.3949,0.0,1,1,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-2,computational,25C,1,0.3377,0.3377,0.0,0.3377,0.3377,0.0,1,1,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-1,computational,30C,5,0.3912,0.4001,0.0149,0.3627,0.402,10.0,5,2,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-2,computational,30C,5,0.3414,0.3497,0.0183,0.3054,0.3536,14.1,5,2,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-1,computational,35C,1,0.3923,0.3923,0.0,0.3923,0.3923,0.0,1,1,dimensionless
CHOL:POPC (1:1),order_param_SCD_plateau,sn-2,computational,35C,1,0.3461,0.3461,0.0,0.3461,0.3461,0.0,1,1,dimensionless
CHOL:POPC (1:4),order_param_SCD_plateau,sn-1,computational,35C,9,0.2923,0.2889,0.0182,0.2671,0.3262,20.2,9,2,dimensionless
CHOL:POPC (1:4),order_param_SCD_plateau,sn-2,computational,35C,9,0.2615,0.2604,0.0179,0.2361,0.2965,23.1,9,2,dimensionless
CHOL:POPC (3:7),order_param_SCD_plateau,sn-1,computational,30C,2,0.3456,0.3456,0.0063,0.3392,0.3519,3.7,2,1,dimensionless
CHOL:POPC (3:7),order_param_SCD_plateau,sn-2,computational,30C,2,0.3091,0.3091,0.0057,0.3034,0.3148,3.7,2,1,dimensionless
CHOL:POPC (43:100),order_param_SCD_plateau,sn-1,computational,35C,9,0.3301,0.3299,0.0155,0.3082,0.3614,16.1,9,2,dimensionless
CHOL:POPC (43:100),order_param_SCD_plateau,sn-2,computational,35C,9,0.2922,0.2927,0.0163,0.2664,0.3229,19.3,9,2,dimensionless
CHOL:POPC (67:100),order_param_SCD_plateau,sn-1,computational,35C,1,0.3639,0.3639,0.0,0.3639,0.3639,0.0,1,1,dimensionless
CHOL:POPC (67:100),order_param_SCD_plateau,sn-2,computational,35C,1,0.3225,0.3225,0.0,0.3225,0.3225,0.0,1,1,dimensionless
CHOL:POPC (6:25),order_param_SCD_plateau,sn-1,computational,30C,1,0.3166,0.3166,0.0,0.3166,0.3166,0.0,1,1,dimensionless
CHOL:POPC (6:25),order_param_SCD_plateau,sn-2,computational,30C,1,0.2957,0.2957,0.0,0.2957,0.2957,0.0,1,1,dimensionless
CHOL:POPC (77:179),order_param_SCD_plateau,sn-1,computational,25C,1,0.3307,0.3307,0.0,0.3307,0.3307,0.0,1,1,dimensionless
CHOL:POPC (77:179),order_param_SCD_plateau,sn-2,computational,25C,1,0.2891,0.2891,0.0,0.2891,0.2891,0.0,1,1,dimensionless
CHOL:POPC:SM16 (38:45:44),order_param_SCD_plateau,sn-1,computational,20C,1,0.3865,0.3865,0.0,0.3865,0.3865,0.0,1,1,dimensionless
CHOL:POPC:SM16 (38:45:44),order_param_SCD_plateau,sn-2,computational,20C,1,0.3402,0.3402,0.0,0.3402,0.3402,0.0,1,1,dimensionless
DEPC,order_param_SCD_plateau,sn-1,computational,35C,1,0.2315,0.2315,0.0,0.2315,0.2315,0.0,1,1,dimensionless
DEPC,order_param_SCD_plateau,sn-2,computational,35C,1,0.2397,0.2397,0.0,0.2397,0.2397,0.0,1,1,dimensionless
DLIPC,order_param_SCD_plateau,sn-1,computational,25C,1,0.2059,0.2059,0.0,0.2059,0.2059,0.0,1,1,dimensionless
DLIPC,order_param_SCD_plateau,sn-2,computational,25C,1,0.1947,0.1947,0.0,0.1947,0.1947,0.0,1,1,dimensionless
DLIPC,order_param_SCD_plateau,sn-1,computational,60C,3,0.1987,0.1987,0.0014,0.1969,0.2004,1.8,1,1,dimensionless
DLIPC,order_param_SCD_plateau,sn-2,computational,60C,3,0.1806,0.18,0.0019,0.1786,0.1832,2.5,1,1,dimensionless
DLIPG:DLIPA:SAPC:POPE (4:4:9:7),order_param_SCD_plateau,sn-1,computational,35C,4,0.2166,0.2192,0.0055,0.2071,0.2209,6.4,1,1,dimensionless
DLIPG:DLIPA:SAPC:POPE (4:4:9:7),order_param_SCD_plateau,sn-2,computational,35C,4,0.1896,0.2055,0.0334,0.1323,0.2152,43.7,1,1,dimensionless
DLPC,order_param_SCD_plateau,sn-1,computational,25C,7,0.2134,0.1997,0.0271,0.1884,0.2721,39.2,7,1,dimensionless
DLPC,order_param_SCD_plateau,sn-2,computational,25C,7,0.2003,0.189,0.0259,0.1816,0.2596,38.9,7,1,dimensionless
DLPC,order_param_SCD_plateau,sn-1,computational,35C,1,0.2242,0.2242,0.0,0.2242,0.2242,0.0,1,1,dimensionless
DLPC,order_param_SCD_plateau,sn-2,computational,35C,1,0.2163,0.2163,0.0,0.2163,0.2163,0.0,1,1,dimensionless
DMPC,order_param_SCD_plateau,sn-1,computational,30C,2,0.2258,0.2258,0.0113,0.2144,0.2371,10.1,2,2,dimensionless
DMPC,order_param_SCD_plateau,sn-2,computational,30C,2,0.2322,0.2322,0.0178,0.2144,0.2501,15.4,2,2,dimensionless
DMPC,order_param_SCD_plateau,sn-1,computational,40C,10,0.2294,0.2316,0.0314,0.1813,0.2853,45.3,9,2,dimensionless
DMPC,order_param_SCD_plateau,sn-2,computational,40C,10,0.2357,0.2305,0.0283,0.1985,0.2956,41.2,9,2,dimensionless
DMPC,order_param_SCD_plateau,sn-1,computational,50C,2,0.201,0.201,0.0068,0.1942,0.2078,6.8,2,1,dimensionless
DMPC,order_param_SCD_plateau,sn-2,computational,50C,2,0.1944,0.1944,0.0079,0.1864,0.2023,8.2,2,1,dimensionless
DMPC,order_param_SCD_plateau,sn-1,computational,60C,3,0.2225,0.2216,0.0024,0.2201,0.2257,2.5,1,1,dimensionless
DMPC,order_param_SCD_plateau,sn-2,computational,60C,3,0.2134,0.2135,0.0018,0.2111,0.2156,2.1,1,1,dimensionless
DMPC,order_param_SCD_plateau,sn-1,experimental,25C,3,0.2143,0.214,0.0021,0.212,0.217,2.3,1,0,dimensionless
DMPC,order_param_SCD_plateau,sn-2,experimental,25C,3,0.2013,0.2,0.005,0.196,0.208,6.0,1,0,dimensionless
DMPC,order_param_SCD_plateau,sn-1,experimental,30C,1,0.21,0.21,0.0,0.21,0.21,0.0,0,0,dimensionless
DMPC,order_param_SCD_plateau,sn-1,experimental,40C,5,0.2142,0.21,0.0352,0.175,0.276,47.2,3,0,dimensionless
DMPC,order_param_SCD_plateau,sn-2,experimental,40C,5,0.2132,0.2,0.0348,0.178,0.276,46.0,3,0,dimensionless
DMPC:BOG (1:1),order_param_SCD_plateau,sn-1,computational,30C,1,0.247,0.247,0.0,0.247,0.247,0.0,1,1,dimensionless
DMPC:BOG (1:1),order_param_SCD_plateau,sn-2,computational,30C,1,0.2368,0.2368,0.0,0.2368,0.2368,0.0,1,1,dimensionless
DMPC:BOG (2:1),order_param_SCD_plateau,sn-1,computational,30C,1,0.2454,0.2454,0.0,0.2454,0.2454,0.0,1,1,dimensionless
DMPC:BOG (2:1),order_param_SCD_plateau,sn-2,computational,30C,1,0.2426,0.2426,0.0,0.2426,0.2426,0.0,1,1,dimensionless
DMPC:BOG (3:2),order_param_SCD_plateau,sn-1,computational,30C,1,0.2444,0.2444,0.0,0.2444,0.2444,0.0,1,1,dimensionless
DMPC:BOG (3:2),order_param_SCD_plateau,sn-2,computational,30C,1,0.238,0.238,0.0,0.238,0.238,0.0,1,1,dimensionless
DMPC:DMTAP (15:1),order_param_SCD_plateau,sn-1,computational,50C,4,0.2114,0.2146,0.019,0.1841,0.2321,22.7,2,1,dimensionless
DMPC:DMTAP (15:1),order_param_SCD_plateau,sn-2,computational,50C,4,0.2133,0.2136,0.0182,0.1914,0.2347,20.3,2,1,dimensionless
DMPC:DMTAP (1:1),order_param_SCD_plateau,sn-1,computational,50C,6,0.243,0.2435,0.0043,0.2362,0.25,5.7,3,1,dimensionless
DMPC:DMTAP (1:1),order_param_SCD_plateau,sn-2,computational,50C,6,0.2435,0.2432,0.0036,0.2382,0.2484,4.2,3,1,dimensionless
DMPC:DMTAP (1:3),order_param_SCD_plateau,sn-1,computational,50C,8,0.215,0.215,0.0055,0.2072,0.2242,7.9,4,1,dimensionless
DMPC:DMTAP (1:3),order_param_SCD_plateau,sn-2,computational,50C,8,0.2111,0.211,0.0044,0.2049,0.2189,6.6,4,1,dimensionless
DMPC:SAPI:POPI:SLIPI (90:23:8:7),order_param_SCD_plateau,sn-1,computational,30C,4,0.2325,0.2342,0.0074,0.2209,0.2407,8.5,1,1,dimensionless
DMPC:SAPI:POPI:SLIPI (90:23:8:7),order_param_SCD_plateau,sn-2,computational,30C,4,0.2084,0.2216,0.0413,0.1402,0.2504,52.9,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,20C,3,0.2116,0.2124,0.0021,0.2088,0.2137,2.3,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,20C,3,0.2041,0.2043,0.0009,0.203,0.2051,1.0,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,25C,4,0.2048,0.2092,0.0086,0.19,0.2108,10.2,2,2,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,25C,4,0.1948,0.2019,0.0139,0.1708,0.2045,17.3,2,2,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,30C,8,0.1693,0.1468,0.0309,0.144,0.2101,39.0,6,2,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,30C,8,0.1669,0.1482,0.0257,0.1456,0.2013,33.4,6,2,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,35C,3,0.2173,0.219,0.0062,0.209,0.2238,6.8,2,2,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,35C,3,0.1913,0.1956,0.0076,0.1806,0.1978,9.0,2,2,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,40C,3,0.2073,0.2066,0.002,0.2053,0.21,2.3,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,40C,3,0.196,0.1945,0.0025,0.1941,0.1995,2.8,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,50C,3,0.2048,0.2043,0.0017,0.203,0.207,2.0,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,50C,3,0.1923,0.1911,0.0024,0.1902,0.1957,2.9,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-1,computational,60C,3,0.2023,0.2006,0.0027,0.2002,0.2061,2.9,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-2,computational,60C,3,0.1877,0.1875,0.0018,0.1855,0.19,2.4,1,1,dimensionless
DOPC,order_param_SCD_plateau,sn-1,experimental,30C,1,0.1908,0.1908,0.0,0.1908,0.1908,0.0,1,0,dimensionless
DOPC,order_param_SCD_plateau,sn-2,experimental,30C,1,0.1722,0.1722,0.0,0.1722,0.1722,0.0,1,0,dimensionless
DOPC:CHOL (32:13),order_param_SCD_plateau,sn-1,computational,60C,3,0.2329,0.2327,0.0014,0.2312,0.2347,1.5,1,1,dimensionless
DOPC:CHOL (32:13),order_param_SCD_plateau,sn-2,computational,60C,3,0.2408,0.2395,0.0023,0.2389,0.2441,2.2,1,1,dimensionless
DOPC:CHOL (4:1),order_param_SCD_plateau,sn-1,computational,60C,3,0.2202,0.2196,0.0012,0.2191,0.2219,1.3,1,1,dimensionless
DOPC:CHOL (4:1),order_param_SCD_plateau,sn-2,computational,60C,3,0.2207,0.2215,0.0015,0.2187,0.222,1.5,1,1,dimensionless
DOPC:CHOL (8:1),order_param_SCD_plateau,sn-1,computational,60C,3,0.2117,0.212,0.0013,0.21,0.2131,1.5,1,1,dimensionless
DOPC:CHOL (8:1),order_param_SCD_plateau,sn-2,computational,60C,3,0.2046,0.2049,0.0014,0.2028,0.2061,1.6,1,1,dimensionless
DOPC:CHOL (8:5),order_param_SCD_plateau,sn-1,computational,60C,3,0.2621,0.261,0.0029,0.2592,0.266,2.6,1,1,dimensionless
DOPC:CHOL (8:5),order_param_SCD_plateau,sn-2,computational,60C,3,0.2651,0.2651,0.0023,0.2623,0.2679,2.1,1,1,dimensionless
DOPC:CHOL (8:7),order_param_SCD_plateau,sn-1,computational,60C,3,0.2858,0.2839,0.0028,0.2838,0.2897,2.1,1,1,dimensionless
DOPC:CHOL (8:7),order_param_SCD_plateau,sn-2,computational,60C,3,0.2846,0.283,0.0028,0.2823,0.2886,2.2,1,1,dimensionless
DOPC:DOPE (1:1),order_param_SCD_plateau,sn-1,computational,25C,2,0.195,0.195,0.0014,0.1936,0.1964,1.4,1,1,dimensionless
DOPC:DOPE (1:1),order_param_SCD_plateau,sn-2,computational,25C,2,0.177,0.177,0.0003,0.1767,0.1772,0.3,1,1,dimensionless
DOPE,order_param_SCD_plateau,sn-1,computational,0C,6,0.2786,0.2754,0.0123,0.2628,0.2978,12.6,3,2,dimensionless
DOPE,order_param_SCD_plateau,sn-2,computational,0C,6,0.2699,0.2633,0.0145,0.2558,0.2954,14.7,3,2,dimensionless
DOPG:PYPE:PVCL (4:15:1),order_param_SCD_plateau,sn-1,computational,35C,2,0.2308,0.2308,0.0081,0.2227,0.2388,7.0,1,1,dimensionless
DOPG:PYPE:PVCL (4:15:1),order_param_SCD_plateau,sn-2,computational,35C,2,0.2264,0.2264,0.0036,0.2228,0.23,3.2,1,1,dimensionless
DOPS,order_param_SCD_plateau,sn-1,computational,30C,13,0.2418,0.2298,0.0354,0.2125,0.3255,46.7,7,4,dimensionless
DOPS,order_param_SCD_plateau,sn-2,computational,30C,13,0.2335,0.2196,0.0383,0.1983,0.3214,52.7,7,4,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,15C,4,0.2851,0.2842,0.0493,0.232,0.3399,37.9,3,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,15C,4,0.2755,0.2757,0.0597,0.2084,0.3421,48.5,3,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,20C,2,0.3687,0.3687,0.0139,0.3548,0.3826,7.5,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,20C,2,0.3712,0.3712,0.0048,0.3664,0.3759,2.6,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,25C,2,0.3284,0.3284,0.0074,0.321,0.3359,4.5,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,25C,2,0.3397,0.3397,0.0195,0.3202,0.3592,11.5,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,30C,1,0.2874,0.2874,0.0,0.2874,0.2874,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,30C,1,0.2872,0.2872,0.0,0.2872,0.2872,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,35C,2,0.266,0.266,0.0299,0.2361,0.2959,22.5,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,35C,2,0.2652,0.2652,0.0407,0.2245,0.3058,30.7,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,40C,1,0.3826,0.3826,0.0,0.3826,0.3826,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,40C,1,0.382,0.382,0.0,0.382,0.382,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,45C,5,0.3079,0.3093,0.0165,0.2858,0.3304,14.5,4,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,45C,5,0.3105,0.3106,0.0157,0.2906,0.3332,13.7,4,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,50C,27,0.2253,0.2339,0.0208,0.1845,0.2677,36.9,22,6,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,50C,27,0.222,0.2271,0.0195,0.1857,0.2585,32.8,22,6,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,55C,1,0.2315,0.2315,0.0,0.2315,0.2315,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,55C,1,0.2282,0.2282,0.0,0.2282,0.2282,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,60C,7,0.2284,0.2277,0.0067,0.2188,0.2399,9.2,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,60C,7,0.2163,0.2241,0.0167,0.1899,0.2306,18.8,2,2,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,65C,3,0.2276,0.2272,0.0012,0.2263,0.2292,1.3,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,65C,3,0.2228,0.2222,0.001,0.222,0.2242,1.0,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,75C,1,0.2209,0.2209,0.0,0.2209,0.2209,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,75C,1,0.2128,0.2128,0.0,0.2128,0.2128,0.0,1,1,dimensionless
DPPC,order_param_SCD_plateau,sn-1,computational,85C,2,0.2161,0.2161,0.0001,0.216,0.2162,0.1,2,1,dimensionless
DPPC,order_param_SCD_plateau,sn-2,computational,85C,2,0.2034,0.2034,0.0001,0.2033,0.2035,0.1,2,1,dimensionless
DPPC:C20 (6:1),order_param_SCD_plateau,sn-1,computational,60C,8,0.2254,0.223,0.0046,0.2193,0.2318,5.5,1,2,dimensionless
DPPC:C20 (6:1),order_param_SCD_plateau,sn-2,computational,60C,8,0.2074,0.1949,0.0209,0.1873,0.235,23.0,1,2,dimensionless
DPPC:C30 (18:1),order_param_SCD_plateau,sn-1,computational,70C,4,0.22,0.2201,0.0027,0.2173,0.2227,2.5,1,2,dimensionless
DPPC:C30 (18:1),order_param_SCD_plateau,sn-2,computational,70C,4,0.2001,0.2002,0.0178,0.182,0.2179,17.9,1,2,dimensionless
DPPC:CHOL (19:5),order_param_SCD_plateau,sn-1,computational,35C,2,0.365,0.365,0.0009,0.3641,0.3659,0.5,2,1,dimensionless
DPPC:CHOL (19:5),order_param_SCD_plateau,sn-2,computational,35C,2,0.3702,0.3702,0.0009,0.3693,0.3711,0.5,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,20C,2,0.3934,0.3934,0.0,0.3934,0.3935,0.0,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,20C,2,0.3968,0.3968,0.0,0.3967,0.3968,0.0,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,30C,1,0.3437,0.3437,0.0,0.3437,0.3437,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,30C,1,0.3463,0.3463,0.0,0.3463,0.3463,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,35C,2,0.3068,0.3068,0.0005,0.3063,0.3073,0.3,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,35C,2,0.308,0.308,0.0005,0.3075,0.3085,0.3,2,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-1,computational,40C,1,0.2714,0.2714,0.0,0.2714,0.2714,0.0,1,1,dimensionless
DPPC:CHOL (43:5),order_param_SCD_plateau,sn-2,computational,40C,1,0.272,0.272,0.0,0.272,0.272,0.0,1,1,dimensionless
