lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
DMPC:DMTAP (1:3),area_per_lipid,-,computational,50C,4,61.1125,61.16,0.4354,60.48,61.65,1.9,4,1,A^2
DMPC:SAPI:POPI:SLIPI (90:23:8:7),area_per_lipid,-,computational,30C,1,60.63,60.63,0.0,60.63,60.63,0.0,1,1,A^2
DOPC,area_per_lipid,-,computational,20C,3,67.26,67.24,0.0432,67.22,67.32,0.1,1,1,A^2
DOPC,area_per_lipid,-,computational,25C,4,68.2225,67.715,0.9466,67.6,69.86,3.3,2,2,A^2
DOPC,area_per_lipid,-,computational,30C,8,69.0725,69.33,0.8393,67.97,69.99,2.9,6,2,A^2
DOPC,area_per_lipid,-,computational,35C,3,66.7833,67.79,1.8943,64.13,68.43,6.4,2,2,A^2
DOPC,area_per_lipid,-,computational,40C,3,69.0,69.05,0.0852,68.88,69.07,0.3,1,1,A^2
DOPC,area_per_lipid,-,computational,50C,3,69.91,69.91,0.0572,69.84,69.98,0.2,1,1,A^2
DOPC,area_per_lipid,-,computational,60C,3,70.9267,70.87,0.1173,70.82,71.09,0.4,1,1,A^2
DOPC,area_per_lipid,-,experimental,30C,1,67.4,67.4,0.0,67.4,67.4,0.0,1,0,A^2
DOPC:CHOL (32:13),area_per_lipid,-,computational,60C,3,55.37,55.34,0.0648,55.31,55.46,0.3,1,1,A^2
DOPC:CHOL (4:1),area_per_lipid,-,computational,60C,3,60.0167,60.0,0.119,59.88,60.17,0.5,1,1,A^2
DOPC:CHOL (8:1),area_per_lipid,-,computational,60C,3,64.76,64.79,0.0572,64.68,64.81,0.2,1,1,A^2
DOPC:CHOL (8:5),area_per_lipid,-,computational,60C,3,50.9333,50.94,0.0249,50.9,50.96,0.1,1,1,A^2
DOPC:CHOL (8:7),area_per_lipid,-,computational,60C,3,47.8767,47.85,0.0525,47.83,47.95,0.3,1,1,A^2
DOPC:DOPE (1:1),area_per_lipid,-,computational,25C,1,68.57,68.57,0.0,68.57,68.57,0.0,1,1,A^2
DOPE,area_per_lipid,-,computational,0C,6,55.1533,55.175,2.2677,51.76,58.4,12.0,3,2,A^2
DOPG:PYPE:PVCL (4:15:1),area_per_lipid,-,computational,35C,1,63.92,63.92,0.0,63.92,63.92,0.0,1,1,A^2
DOPS,area_per_lipid,-,computational,30C,13,61.5885,62.98,4.7973,51.05,66.21,24.6,7,4,A^2
DPPC,area_per_lipid,-,computational,15C,4,51.785,51.715,0.4228,51.31,52.4,2.1,3,1,A^2
DPPC,area_per_lipid,-,computational,20C,2,48.2,48.2,0.18,48.02,48.38,0.7,1,1,A^2
DPPC,area_per_lipid,-,computational,25C,2,52.12,52.12,0.86,51.26,52.98,3.3,2,2,A^2
